Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
10/28/19,"3,032.12","3,044.08","3,032.12","3,039.42",9.57,11.96,7.3,16.87,9.57,-21.53,,,
10/29/19,"3,035.39","3,047.87","3,034.81","3,036.89",-4.03,13.06,1.5,-2.53,-4.61,-8.45,,,
10/30/19,"3,039.74","3,050.10","3,025.96","3,046.77",2.85,24.14,7.03,9.88,-10.93,-13.21,,,
10/31/19,"3,046.90","3,046.90","3,023.19","3,037.56",0.13,23.71,-9.34,-9.21,-23.58,-0.13,,,
11/1/19,"3,050.72","3,066.95","3,050.72","3,066.91",13.16,16.23,16.19,29.35,13.16,-29.39,,,
11/4/19,"3,078.96","3,085.20","3,074.87","3,078.27",12.05,10.33,-0.69,11.36,7.96,-18.29,,,
11/5/19,"3,080.80","3,083.95","3,072.15","3,074.62",2.53,11.8,-6.18,-3.65,-6.12,-5.68,,,
11/6/19,"3,075.10","3,078.34","3,065.89","3,076.78",0.48,12.45,1.68,2.16,-8.73,-3.72,,,
11/7/19,"3,087.02","3,097.77","3,080.23","3,085.18",10.24,17.54,-1.84,8.4,3.45,-20.99,,,
11/8/19,"3,081.25","3,093.09","3,073.58","3,093.08",-3.93,19.51,11.83,7.9,-11.6,-7.91,,,
11/11/19,"3,080.33","3,088.33","3,075.82","3,087.01",-12.75,12.51,6.68,-6.07,-17.26,4.75,,,
11/12/19,"3,089.28","3,102.61","3,084.73","3,091.84",2.27,17.88,2.56,4.83,-2.28,-15.6,,,
11/13/19,"3,084.18","3,098.06","3,078.80","3,094.04",-7.66,19.26,9.86,2.2,-13.04,-6.22,,,
11/14/19,"3,090.75","3,098.20","3,083.26","3,096.63",-3.29,14.94,5.88,2.59,-10.78,-4.16,,,
11/15/19,"3,107.92","3,120.46","3,104.60","3,120.46",11.29,15.86,12.54,23.83,7.97,-23.83,,,
11/18/19,"3,117.91","3,124.17","3,112.06","3,122.03",-2.55,12.11,4.12,1.57,-8.4,-3.71,,,
11/19/19,"3,127.45","3,127.64","3,113.47","3,120.18",5.42,14.17,-7.27,-1.85,-8.56,-5.61,,,
11/20/19,"3,114.66","3,118.97","3,091.41","3,108.46",-5.52,27.56,-6.2,-11.72,-28.77,1.21,,,
11/21/19,"3,108.49","3,110.11","3,094.55","3,103.54",0.03,15.56,-4.95,-4.92,-13.91,-1.65,,,
11/22/19,"3,111.41","3,112.87","3,099.26","3,110.29",7.87,13.61,-1.12,6.75,-4.28,-9.33,,,
11/25/19,"3,117.44","3,133.83","3,117.44","3,133.64",7.15,16.39,16.2,23.35,7.15,-23.54,,,
11/26/19,"3,134.85","3,142.69","3,131.00","3,140.52",1.21,11.69,5.67,6.88,-2.64,-9.05,,,
11/27/19,"3,145.49","3,154.26","3,143.41","3,153.63",4.97,10.85,8.14,13.11,2.89,-13.74,,,
11/29/19,"3,147.18","3,150.30","3,139.34","3,140.98",-6.45,10.96,-6.2,-12.65,-14.29,3.33,,,
12/2/19,"3,143.85","3,144.31","3,110.78","3,113.87",2.87,33.53,-29.98,-27.11,-30.2,-3.33,,,
12/3/19,"3,087.41","3,094.97","3,070.33","3,093.20",-26.46,24.64,5.79,-20.67,-43.54,18.9,,,
12/4/19,"3,103.50","3,119.38","3,102.53","3,112.76",10.3,16.85,9.26,19.56,9.33,-26.18,,,
12/5/19,"3,119.21","3,119.45","3,103.76","3,117.43",6.45,15.69,-1.78,4.67,-9,-6.69,,,
12/6/19,"3,134.62","3,150.60","3,134.62","3,145.91",17.19,15.98,11.29,28.48,17.19,-33.17,,,
12/9/19,"3,141.86","3,148.87","3,135.46","3,135.96",-4.05,13.41,-5.9,-9.95,-10.45,-2.96,,,
12/10/19,"3,135.36","3,142.12","3,126.09","3,132.52",-0.6,16.03,-2.84,-3.44,-9.87,-6.16,,,
12/11/19,"3,135.75","3,143.98","3,133.21","3,141.63",3.23,10.77,5.88,9.11,0.69,-11.46,,,
12/12/19,"3,141.23","3,176.28","3,138.47","3,168.57",-0.4,37.81,27.34,26.94,-3.16,-34.65,,,
